iter	Passed	Remaining
0	0	92
1	1	87
2	2	94
3	3	84
4	4	81
5	5	79
6	5	79
7	6	77
8	7	76
9	8	77
10	9	76
11	10	75
12	11	74
13	11	73
14	12	72
15	13	71
16	14	69
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	37	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	50	26
66	51	25
67	52	24
68	52	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
